RANK,GENE_SYMBOL,NUMBER_PATHWAYS
447,TUBA1A,14
448,SDHA,14
449,MAOA,14
450,TUBA1B,14
451,CD40LG,14
452,CXCR4,14
453,CD4,14
454,CXCL3,14
455,HIF1A,14
456,RRAS,14
457,SOCS3,14
458,RHEB,14
459,MAOB,14
460,PIK3CG,14
461,EIF2AK3,14
462,SDHD,14
463,SDHC,14
464,PXN,14
465,SDHB,14
466,TSC1,13
467,IL1R1,13
468,ADRB1,13
469,LYN,13
470,ITGAL,13
471,SIRT1,13
472,SLC2A1,13
473,IRS4,13
474,CDH1,13
475,PRKCE,13
476,MAP3K14,13
477,CAMK4,13
478,GNA13,13
479,TRAF5,13
480,IL5,13
481,NFATC4,13
482,NDUFA7,13
483,NDUFB5,13
484,NDUFB10,13
485,NDUFA11,13
486,NDUFA12,13
487,NDUFA13,13
488,NDUFA2,13
489,FN1,13
490,NDUFA3,13
491,NDUFA5,13
492,NDUFA6,13
493,NDUFA8,13
494,NDUFA9,13
495,NDUFAB1,13
496,NDUFB1,13
497,NDUFB11,13
498,NDUFA1,13
499,NDUFB2,13
500,NDUFB3,13
501,PPP2R2D,13
502,NDUFB4,13
503,RBX1,13
504,PPP2R2C,13
505,NDUFB6,13
506,PPP2R2B,13
507,PPP2R2A,13
508,NDUFB7,13
509,NDUFB8,13
510,NDUFB9,13
511,NDUFA10,13
512,LAMA1,13
513,CD28,13
514,COX7A1,13
515,COX1,13
516,COX2,13
517,COX3,13
518,COX4I1,13
519,COX4I2,13
520,COX5A,13
521,COX5B,13
522,COX6A1,13
523,COX6A2,13
524,COX6B1,13
525,COX6B2,13
526,COX6C,13
527,COX7A2,13
528,LAMA2,13
529,COX7A2L,13
530,COX7B,13
531,COX7B2,13
532,RXRB,13
533,COX7C,13
534,COX8A,13
535,COX8C,13
536,COXFA4,13
537,CD36,13
538,COXFA4L2,13
539,CYC1,13
540,CYTB,13
541,NDUFC1,13
542,RXRG,13
543,NDUFC2,13
544,PCK1,13
545,UQCRC1,13
546,PFKL,13
547,UQCRC2,13
548,UQCRH,13
549,PFKM,13
550,UGT2B10,13
551,UGT2A3,13
552,UGT2A2,13
553,NDUFS1,13
554,PFKP,13
555,PDGFC,13
556,UQCRHL,13
557,PDGFD,13
558,UGT2A1,13
559,UGT1A9,13
560,IRF7,13
561,UGT1A1,13
562,UGT1A10,13
563,UGT1A8,13
564,UGT1A7,13
565,UGT1A6,13
566,UGT1A3,13
567,UGT1A5,13
568,PCK2,13
569,UQCRQ,13
570,NDUFV1,13
571,NDUFS8,13
572,NDUFS2,13
573,NDUFS3,13
574,NDUFS4,13
575,NDUFS5,13
576,UGT2B7,13
577,UGT2B4,13
578,NDUFS6,13
579,UGT2B28,13
580,UGT2B17,13
581,UGT2B15,13
582,NDUFS7,13
583,UGT1A4,13
584,ALDH9A1,13
585,NDUFV2,13
586,FGFR2,13
587,FGFR3,13
588,NDUFV3,13
589,UGT2B11,13
590,UQCR10,13
591,UQCR11,13
592,UQCRB,13
593,GRM5,12
594,ACOX3,12
595,TUBB3,12
596,TUBB4A,12
597,TUBB4B,12
598,TUBB6,12
599,CHRM3,12
600,TUBB8,12
601,PRKCQ,12
602,COL1A2,12
603,COL4A1,12
604,COL4A2,12
605,COL1A1,12
606,COL4A3,12
607,COL4A4,12
608,COL4A5,12
609,COL4A6,12
610,SKP1,12
611,CD80,12
612,ITGA3,12
613,TUBB8B,12
614,DRD1,12
615,HSPA8,12
616,ITGB7,12
617,HSPA6,12
618,HSPA1L,12
619,HSPA1B,12
620,HSPA1A,12
621,TUBB1,12
622,IL2RG,12
623,ACOX1,12
624,ACAT2,12
625,TUBB2A,12
626,GSTA4,12
627,GSTA3,12
628,GSTA2,12
629,GSTA1,12
630,NLRP3,12
631,PYCARD,12
632,SLC8A1,12
633,SLC8A2,12
634,SLC8A3,12
635,CXCL10,12
636,IL6R,12
637,G6PC3,12
638,G6PC2,12
639,G6PC1,12
640,GSTA5,12
641,GSTM1,12
642,GSTM2,12
643,GSTT4,12
644,ACAT1,12
645,NCF1,12
646,PPIF,12
647,MGST3,12
648,MGST2,12
649,MGST1,12
650,GSTT2B,12
651,GSTM3,12
652,GSTT2,12
653,GSTT1,12
654,GSTO2,12
655,GSTO1,12
656,GSTM5,12
657,GSTM4,12
658,TUBB2B,12
659,EDN1,12
660,PPARG,12
661,TUBB,12
662,CCNA1,12
663,CCNA2,12
664,ABL1,12
665,ND1,12
666,BCAR1,12
667,ND2,12
668,ATP6V0D1,12
669,ATP6V0D2,12
670,CSF1,12
671,ND3,12
672,ND4L,12
673,ND4,12
674,ND5,12
675,BECN1,12
676,FCGR2A,12
677,ITGB5,12
678,GNA12,12
679,GOT2,12
680,BECN2,12
681,ND6,12
682,MRAS,11
683,KIT,11
684,FGF9,11
685,GUCY1A2,11
686,ERN1,11
687,GUCY1B1,11
688,HSP90B1,11
689,TCIRG1,11
690,GUCY1A1,11
691,MYL12A,11
692,MYL12B,11
693,FCGR1A,11
694,CSNK2B,11
695,ARHGEF12,11
696,NTRK1,11
697,NPR1,11
698,FGF8,11
699,PPP2R5A,11
700,PPP2R5B,11
701,ECHS1,11
702,PPP2R5C,11
703,PPP2R5D,11
704,PPP2R5E,11
705,RPTOR,11
706,CAT,11
707,PAK2,11
708,FGF4,11
709,FGF7,11
710,NPPA,11
711,PDHB,11
712,PDHA2,11
713,PDHA1,11
714,KIF5C,11
715,KDR,11
716,ARRB1,11
717,ARRB2,11
718,SLC9A1,11
719,KIF5A,11
720,PIK3R5,11
721,PIK3R6,11
722,GOT1,11
723,PRKG1,11
724,PRKG2,11
725,GOT1L1,11
726,GRIA4,11
727,KIF5B,11
728,CSF1R,11
729,FGF6,11
730,FGF20,11
731,FGF5,11
732,PLA2G6,11
733,FGF3,11
734,FGF23,11
735,FGF22,11
736,CXCL12,11
737,FGF21,11
738,FGF18,11
739,DDIT3,11
740,FGF17,11
741,FGF16,11
742,MMP2,11
743,FGF10,11
744,CD3D,11
745,CD3E,11
746,FGF1,11
747,EIF2AK2,11
748,IL2RA,11
749,GRIN3A,11
750,C5,11
751,CCR5,11
752,ATP6,11
753,ATP6V0A1,11
754,ATP6V0A2,11
755,ATP6V0A4,11
756,PSMC1,11
757,RAB5A,11
758,LCK,11
759,ATP6V0C,11
760,EHHADH,11
761,LAT,11
762,GRIN3B,11
763,LDLR,11
764,SCARB1,11
765,ATP5PO,11
766,ATP5PF,11
767,ADRB2,11
768,ATP5PD,11
769,ATP5PB,11
770,F2R,11
771,ATP5MC3,11
772,CYP1A2,11
773,CYP2E1,11
774,PTPN6,11
775,PLCE1,11
776,ATP5MC2,11
777,ATP5MC1,11
778,ATP5F1E,11
779,ATP5F1D,11
780,ATP5F1C,11
781,ATP5F1B,11
782,CPT1B,11
783,CYBA,11
784,PDE3B,11
785,ATP6V1H,11
786,ATP5F1A,11
787,IL2RB,11
788,ATP8,11
789,RRAS2,11
790,PAK3,11
791,CUL1,11
792,GSTP1,11
793,VEGFC,10
794,PLA2G2E,10
795,DRD2,10
796,NFKB2,10
797,PLA2G2F,10
798,PTK2B,10
799,VEGFD,10
800,PLA2G12A,10
801,PLA2G3,10
802,CSNK2A3,10
803,PIP5K1C,10
804,PLA2G5,10
805,GAB1,10
806,RPS6KA6,10
807,RPS6KA3,10
808,BCL2L11,10
809,CGA,10
810,PLA2G2D,10
811,PIP5K1B,10
812,CSNK2A2,10
813,PLA2G12B,10
814,PLA2G10,10
815,PPARA,10
816,MYLK,10
817,MYLK2,10
818,MYLK3,10
819,MYLK4,10
820,RPS6KA1,10
821,FGF19,10
822,PAK4,10
823,PLA2G1B,10
824,BDKRB2,10
825,PIP5K1A,10
826,SPHK1,10
827,SPHK2,10
828,ESR1,10
829,PLA2G2A,10
830,PLA2G2C,10
831,RPS6,10
832,SEM1,10
833,CSNK2A1,10
834,RPS6KA2,10
835,HMOX1,10
836,ITGB4,10
837,ATP6V1D,10
838,ACTN4,10
839,ATP6V1A,10
840,ATP6V1B1,10
841,ATP6V1B2,10
842,ATP6V1C1,10
843,ATP6V1C2,10
844,IL3,10
845,ATP6V1E1,10
846,TNFRSF10A,10
847,ATP6V1E2,10
848,ATP6V1F,10
849,ATP6V1FP2,10
850,ATP6V1G1,10
851,ATP6V1G2,10
852,MAVS,10
853,ATP6V1G3,10
854,ACTN1,10
855,TNFRSF10B,10
856,KCNJ3,10
857,ARHGEF1,10
858,CPT1A,10
859,ITGB8,10
860,CBS,10
861,ITGA9,10
862,PPARGC1A,10
863,HADHA,10
864,TIRAP,10
865,RIGI,10
866,ATP6V0B,10
867,ITGA8,10
868,ACACB,10
869,ITGA1,10
870,CYP1A1,10
871,CYP3A4,10
872,TNFSF10,10
873,ATP6AP1,10
874,CD3G,10
875,CDKN2B,10
876,ARPC1B,10
877,CALR,10
878,ACTR2,10
879,ACTR3,10
880,ACTR3B,10
881,ACTR3C,10
882,ARPC1A,10
883,ARPC2,10
884,ARPC3,10
885,ARPC4,10
886,ARPC5,10
887,ARPC5L,10
888,CAV3,10
889,ADH5,10
890,KCNJ6,10
891,POMC,10
892,ULK1,10
893,NCF2,10
894,PKM,10
895,PSMC6,9
896,PSMD6,9
897,PSMD4,9
898,MAP1LC3B2,9
899,PSMC5,9
900,PSMD3,9
901,PSMD14,9
902,PSMD1,9
903,PSMD13,9
904,PSMD2,9
905,PSMD11,9
906,MAP1LC3C,9
907,ZAP70,9
908,PSMD12,9
909,MAP1LC3BP1,9
910,BTRC,9
911,PSMC4,9
912,ADRM1,9
913,MAP3K1,9
914,CPT1C,9
915,LAMA5,9
916,LAMA4,9
917,LAMA3,9
918,ITGB6,9
919,PARD3,9
920,PSMC3,9
921,SQSTM1,9
922,HEXA,9
923,HEXB,9
924,STK11,9
925,PSMC2,9
926,RAB5C,9
927,PSMD7,9
928,ITGA10,9
929,RAB5B,9
930,PIK3R4,9
931,ADRA1A,9
932,ARF6,9
933,PAK6,9
934,PAK5,9
935,WASL,9
936,RPS6KA5,9
937,FCGR3A,9
938,SOCS1,9
939,GLUL,9
940,GLS2,9
941,VEGFB,9
942,BDNF,9
943,PLPP3,9
944,PLPP2,9
945,FBXW11,9
946,ATP6V0E1,9
947,C1QA,9
948,PSMD8,9
949,C1QB,9
950,NGF,9
951,HSPA5,9
952,MAP1LC3B,9
953,ITGA7,9
954,ITGA11,9
955,PLPP1,9
956,MAP1LC3A,9
957,CD209,9
958,CLEC4M,9
959,NGFR,9
960,LRP6,9
961,LRP5,9
962,FLT1,9
963,FGFR4,9
964,C1QC,9
965,ATP6V0E2,9
966,GLS,9
967,ACSL3,9
968,CHRM1,9
969,VCAM1,9
970,TLR3,9
971,PPP2R3C,9
972,PPP2R3B,9
973,PPP2R3A,9
974,ACSL6,9
975,ACSL5,9
976,ACSL4,9
977,HBEGF,9
978,ACSL1,9
979,UBA52,9
980,RPS27A,9
981,CYP2C9,9
982,MCU,9
983,AOX1,9
984,GAPDH,9
985,ACACA,9
986,MYL5,9
987,BBC3,9
988,PKLR,9
989,VCL,9
990,KCNJ5,9
991,IL6ST,9
992,NOTCH3,9
993,NOTCH2,9
994,NOTCH1,9
995,IL23A,9
996,TLR9,9
997,JAG1,9
998,KNG1,9
999,RYR3,9
1000,ADRB3,9
1001,ATP2B2,9
1002,LAMB3,9
1003,TH,9
1004,ADH6,9
1005,ADH1A,9
1006,ATP2B1,9
1007,ADH1B,9
1008,ADH7,9
1009,ADH1C,9
1010,DDC,9
1011,MYH7,9
1012,ATP2B3,9
1013,SHMT2,9
1014,ATP2B4,9
1015,MYH6,9
1016,LAMC1,9
1017,LAMC2,9
1018,SHMT1,9
1019,ADH4,9
1020,IDH1,8
1021,KCNJ9,8
1022,CTSL,8
1023,CAPN1,8
1024,GABBR2,8
1025,ENPP1,8
1026,NCF4,8
1027,IDH2,8
1028,CYP2D6,8
1029,CACNA1G,8
1030,NFKBIE,8
1031,CD247,8
1032,STING1,8
1033,ESR2,8
1034,UBC,8
1035,PGM2,8
1036,LDHA,8
1037,PGM1,8
1038,FBP1,8
1039,AKR1A1,8
1040,ALDH3A1,8
1041,XBP1,8
1042,ALDH3B1,8
1043,FLT3,8
1044,SLC2A2,8
1045,ALDH3B2,8
1046,KLC4,8
1047,KLC3,8
1048,FBP2,8
1049,LDHC,8
1050,KLC2,8
1051,FLT4,8
1052,KLC1,8
1053,CASP12,8
1054,ENPP3,8
1055,LDHAL6A,8
1056,LDHAL6B,8
1057,LDHB,8
1058,CAPN2,8
1059,LAMB1,8
1060,MYL7,8
1061,WASF2,8
1062,PSMB1,8
1063,PLAAT3,8
1064,PLAAT2,8
1065,HADH,8
1066,VWF,8
1067,LAMC3,8
1068,PSMB7,8
1069,PSMB6,8
1070,PSMB5,8
1071,PSMB4,8
1072,PSMB3,8
1073,PSMB2,8
1074,PSMA8,8
1075,PSMD9,8
1076,PSMA7,8
1077,PSMA6,8
1078,PSMA5,8
1079,PSMA4,8
1080,PSMA3,8
1081,PSMA2,8
1082,PSMA1,8
1083,ATG14,8
1084,ACAA1,8
1085,LAMB4,8
1086,ACADS,8
1087,TPM3,8
1088,CSNK1A1,8
1089,EZR,8
1090,CTNNA2,8
1091,MMP1,8
1092,GUSB,8
1093,ADIPOQ,8
1094,MYH9,8
1095,MYH14,8
1096,MYH11,8
1097,MYH10,8
1098,UGP2,8
1099,LAMB2,8
1100,MYL11,8
1101,CTNNA3,8
1102,CTNNA1,8
1103,CSNK1A1L,8
1104,SOD1,8
1105,TJP1,8
1106,B4GALT1,8
1107,BIRC5,8
1108,CYP1B1,8
1109,B4GALT2,8
1110,CFTR,8
1111,FCGR2B,8
1112,TAP1,8
1113,TAP2,8
1114,CYP2C8,8
1115,KITLG,8
1116,GABBR1,8
1117,PRKCI,8
1118,CSNK1E,8
1119,IL4R,8
1120,RYR1,8
1121,CCNB2,8
1122,ADRA1D,8
1123,IL13,8
1124,ADRA1B,8
1125,RAPGEF3,8
1126,IL4I1,8
1127,PDYN,8
1128,EPO,8
1129,LPAR1,8
1130,ADORA1,8
1131,LCP2,8
1132,SKP2,8
1133,SERPINE1,8
1134,BCAT1,8
1135,BCAT2,8
1136,CHRFAM7A,8
1137,TNFSF11,8
1138,SLC18A1,8
1139,ORAI1,8
1140,SLC18A2,8
1141,SLC6A3,8
1142,CYP2A7,8
1143,GYS1,8
1144,CBL,8
1145,YWHAE,8
1146,CYP2A6,8
1147,GYS2,8
1148,CDK1,8
1149,MTR,8
1150,FCER1G,8
1151,TAB3,8
1152,ATG5,8
1153,CCL3L1,8
1154,TNNI3,8
1155,MAPKAPK2,8
1156,ADORA2A,8
1157,WIPI2,8
1158,BMP4,8
1159,CCL3,8
1160,RAB7A,8
1161,WIPI1,8
1162,ULK2,8
1163,PPP1R12A,8
1164,AGXT2,8
1165,CCL3L3,8
1166,ATG13,8
1167,ATG101,8
1168,F2,8
1169,MAPK7,8
1170,PRF1,7
1171,ABAT,7
1172,STAT6,7
1173,PLB1,7
1174,EDNRA,7
1175,CHRM5,7
1176,ARF1,7
1177,GNAL,7
1178,MYL3,7
1179,TRAF1,7
1180,ARNT,7
1181,TPM1,7
1182,TNFAIP3,7
1183,GABRA1,7
1184,GABRA2,7
1185,GABRA3,7
1186,GABRA4,7
1187,GABRA5,7
1188,AGXT,7
1189,RALA,7
1190,B4GALT3,7
1191,GZMB,7
1192,CTSD,7
1193,SOD2,7
1194,SLC2A4,7
1195,LPAR2,7
1196,LPAR4,7
1197,TICAM2,7
1198,PARD6B,7
1199,PARD6G,7
1200,RAPGEF4,7
1201,VASP,7
1202,PSAT1,7
1203,TIAM1,7
1204,GAD2,7
1205,PCNA,7
1206,CCNB1,7
1207,GAD1,7
1208,RASSF1,7
1209,RALGDS,7
1210,DNM2,7
1211,SPP1,7
1212,CHRM2,7
1213,PARD6A,7
1214,BTK,7
1215,ALOX15,7
1216,CXCL5,7
1217,CCL4L1,7
1218,CCL4L2,7
1219,CSF3,7
1220,PGAM1,7
1221,PGAM2,7
1222,PGAM4,7
1223,CXCL6,7
1224,ALOX5,7
1225,DLST,7
1226,FH,7
1227,CXCR2,7
1228,TNNC1,7
1229,MMP3,7
1230,MDH1,7
1231,CCL4,7
1232,GPI,7
1233,BMPR2,7
1234,BMPR1B,7
1235,ENO3,7
1236,ENO2,7
1237,ENO1,7
1238,DLAT,7
1239,ALDOC,7
1240,ERBB3,7
1241,ALDOB,7
1242,ALDOA,7
1243,PTGER2,7
1244,CD38,7
1245,LIPE,7
1246,LHB,7
1247,CA2,7
1248,EPOR,7
1249,OAS3,7
1250,OAS2,7
1251,TNFRSF1B,7
1252,FRAT1,7
1253,CYP2B6,7
1254,LY96,7
1255,CYP2J2,7
1256,CFLAR,7
1257,GABRB1,7
1258,PMAIP1,7
1259,FRAT2,7
1260,MLH1,7
1261,GLB1,7
1262,BRCA1,7
1263,PLN,7
1264,NOX1,7
1265,JUP,7
1266,LTBR,7
1267,OAS1,7
1268,MYL10,7
1269,LTA,7
1270,LEPR,7
1271,LEP,7
1272,IL7R,7
1273,UGDH,7
1274,NOTCH4,7
1275,SELE,7
1276,IL1R2,7
1277,WASF1,7
1278,IL15,7
1279,CR1,7
1280,CR1L,7
1281,COL3A1,7
1282,GABRA6,7
1283,CAMKK2,7
1284,PML,7
1285,OCLN,7
1286,YWHAB,7
1287,PDE1B,7
1288,PDE1A,7
1289,RRM2,7
1290,RRM2B,7
1291,INPP5D,7
1292,CBLB,7
1293,TFRC,7
1294,AFDN,7
1295,CAV1,7
1296,UBB,7
1297,DAG1,7
1298,RET,7
1299,CLDN20,7
1300,CLDN9,7
1301,CLDN8,7
1302,CLDN7,7
1303,CLDN6,7
1304,CLDN5,7
1305,CLDN4,7
1306,CLDN34,7
1307,ATG2A,7
1308,CLDN3,7
1309,CLDN25,7
1310,CLDN24,7
1311,CLDN23,7
1312,ATR,7
1313,HES1,7
1314,ADCY10,7
1315,COMP,7
1316,CACNB4,7
1317,CACNB3,7
1318,CACNB2,7
1319,CACNB1,7
1320,CACNA2D4,7
1321,CACNA2D3,7
1322,CACNG2,7
1323,CACNG3,7
1324,CACNA2D2,7
1325,CACNA2D1,7
1326,CACNA1I,7
1327,CACNA1H,7
1328,CACNG4,7
1329,GLUD2,7
1330,GLUD1,7
1331,CACNG5,7
1332,CACNG6,7
1333,CACNG7,7
1334,YWHAZ,7
1335,THBS2,7
1336,YWHAQ,7
1337,CACNG8,7
1338,PDE1C,7
1339,THBS3,7
1340,THBS4,7
1341,CLDN22,7
1342,CACNG1,7
1343,CLDN2,7
1344,CLDN15,7
1345,GABRB2,7
1346,GABRB3,7
1347,RB1CC1,7
1348,PLCZ1,7
1349,CLDN12,7
1350,CLDN11,7
1351,CLDN1,7
1352,GAB2,7
1353,NFE2L2,7
1354,IGF2,7
1355,CLDN10,7
1356,AGER,7
1357,CLDN19,7
1358,DOCK1,7
1359,MEF2C,7
1360,PLCD1,7
1361,PLCD3,7
1362,CLDN14,7
1363,PLCD4,7
1364,CLDN17,7
