PATHWAY_ID1,PATHWAY_ID2,OVERLAP_COUNT
hsa05200,hsa05220,71
hsa04020,hsa04022,70
hsa04022,hsa04270,70
hsa04082,hsa04723,70
hsa04150,hsa05200,70
hsa04620,hsa05169,70
hsa05132,hsa05135,70
hsa05161,hsa05168,70
hsa05164,hsa05167,70
hsa05164,hsa05171,70
hsa05164,hsa05417,70
hsa05205,hsa05226,70
hsa00982,hsa01100,69
hsa04014,hsa05170,69
hsa04022,hsa04921,69
hsa04218,hsa05163,69
hsa04270,hsa04921,69
hsa04371,hsa05200,69
hsa04510,hsa05205,69
hsa04725,hsa05163,69
hsa04933,hsa05200,69
hsa05014,hsa05017,69
hsa05162,hsa05171,69
hsa05410,hsa05412,69
hsa05412,hsa05414,69
hsa04014,hsa04810,68
hsa04024,hsa04080,68
hsa04530,hsa05130,68
hsa04723,hsa05020,68
hsa05034,hsa05203,68
hsa05135,hsa05417,68
hsa05152,hsa05168,68
hsa05165,hsa05168,68
hsa05169,hsa05171,68
hsa05200,hsa05214,68
hsa00010,hsa01100,67
hsa00980,hsa01100,67
hsa04020,hsa04080,67
hsa04062,hsa04926,67
hsa04151,hsa05170,67
hsa04151,hsa05215,67
hsa04390,hsa05200,67
hsa04620,hsa05171,67
hsa04621,hsa05131,67
hsa04723,hsa05010,67
hsa04934,hsa05165,67
hsa04936,hsa05417,67
hsa05010,hsa05417,67
hsa05132,hsa05417,67
hsa05164,hsa05200,67
hsa05171,hsa05417,67
hsa05200,hsa05223,67
hsa05205,hsa05224,67
hsa00562,hsa04070,66
hsa00830,hsa01100,66
hsa04014,hsa05163,66
hsa04072,hsa05200,66
hsa04310,hsa05010,66
hsa04390,hsa05165,66
hsa04517,hsa05130,66
hsa04620,hsa05167,66
hsa04714,hsa04723,66
hsa04915,hsa05163,66
hsa05010,hsa05225,66
hsa05017,hsa05020,66
hsa05022,hsa05167,66
hsa05131,hsa05170,66
hsa05152,hsa05164,66
hsa05161,hsa05171,66
hsa04014,hsa04510,65
hsa04015,hsa05163,65
hsa04060,hsa04062,65
hsa04081,hsa05200,65
hsa04150,hsa05225,65
hsa04151,hsa04512,65
hsa04151,hsa04926,65
hsa04151,hsa05207,65
hsa04510,hsa04512,65
hsa04512,hsa05165,65
hsa04613,hsa05203,65
hsa04728,hsa05163,65
hsa04915,hsa05200,65
hsa04926,hsa04935,65
hsa04935,hsa05200,65
hsa05010,hsa05224,65
hsa05010,hsa05226,65
hsa05022,hsa05165,65
hsa05130,hsa05135,65
hsa05162,hsa05167,65
hsa05164,hsa05165,65
hsa05165,hsa05166,65
hsa05168,hsa05171,65
hsa00230,hsa01232,64
hsa04015,hsa04510,64
hsa04062,hsa05167,64
hsa04150,hsa05010,64
hsa04150,hsa05205,64
hsa04218,hsa05167,64
hsa04218,hsa05200,64
hsa04517,hsa05132,64
hsa04550,hsa05226,64
hsa04725,hsa05200,64
hsa04927,hsa04934,64
hsa05131,hsa05417,64
hsa05152,hsa05200,64
hsa05163,hsa05207,64
hsa05168,hsa05200,64
hsa00310,hsa01100,63
hsa01100,hsa04723,63
hsa04014,hsa04020,63
hsa04014,hsa04062,63
hsa04020,hsa04082,63
hsa04061,hsa04062,63
hsa04081,hsa04082,63
hsa04150,hsa05224,63
hsa04151,hsa05206,63
hsa04261,hsa04728,63
hsa04360,hsa04517,63
hsa04371,hsa05163,63
hsa04550,hsa05224,63
hsa04550,hsa05225,63
hsa04620,hsa05162,63
hsa04723,hsa04727,63
hsa04723,hsa05016,63
hsa04725,hsa04926,63
hsa04810,hsa05205,63
hsa04915,hsa04926,63
hsa05022,hsa05225,63
hsa05131,hsa05163,63
hsa05162,hsa05165,63
hsa05165,hsa05170,63
hsa05166,hsa05167,63
hsa05167,hsa05171,63
hsa05200,hsa05203,63
hsa05200,hsa05217,63
hsa00561,hsa01100,62
hsa00980,hsa00982,62
hsa04010,hsa05417,62
hsa04020,hsa05022,62
hsa04082,hsa04727,62
hsa04082,hsa05032,62
hsa04151,hsa05205,62
hsa04261,hsa04921,62
hsa04550,hsa05205,62
hsa04620,hsa05164,62
hsa04620,hsa05170,62
hsa04723,hsa05032,62
hsa04723,hsa05415,62
hsa05152,hsa05167,62
hsa05152,hsa05169,62
hsa05160,hsa05417,62
hsa05162,hsa05170,62
hsa05163,hsa05205,62
hsa00140,hsa01100,61
hsa01100,hsa05204,61
hsa01521,hsa04151,61
hsa01524,hsa05200,61
hsa04010,hsa05161,61
hsa04010,hsa05163,61
hsa04020,hsa04921,61
hsa04060,hsa05200,61
hsa04066,hsa05200,61
hsa04072,hsa05231,61
hsa04210,hsa05200,61
hsa04218,hsa05170,61
hsa04517,hsa04530,61
hsa04620,hsa05168,61
hsa04621,hsa05171,61
hsa04713,hsa04728,61
hsa04723,hsa05012,61
hsa04727,hsa05032,61
hsa04916,hsa05022,61
hsa04921,hsa05163,61
hsa05010,hsa05132,61
hsa05010,hsa05167,61
hsa05022,hsa05205,61
hsa04010,hsa05170,60
hsa04014,hsa04072,60
hsa04015,hsa04072,60
hsa04020,hsa04024,60
hsa04022,hsa05163,60
hsa04024,hsa04081,60
hsa04068,hsa05200,60
hsa04150,hsa05226,60
hsa04151,hsa04152,60
hsa04210,hsa05010,60
hsa04510,hsa04517,60
hsa04620,hsa04936,60
hsa04621,hsa05169,60
hsa04625,hsa05167,60
hsa04814,hsa05132,60
hsa04915,hsa04935,60
hsa04919,hsa05200,60
hsa04934,hsa05022,60
hsa04935,hsa05207,60
hsa05010,hsa05163,60
hsa05022,hsa05163,60
hsa05022,hsa05170,60
hsa05131,hsa05167,60
hsa05135,hsa05170,60
hsa05152,hsa05161,60
hsa05163,hsa05164,60
hsa05163,hsa05203,60
hsa05169,hsa05203,60
hsa05218,hsa05224,60
hsa00480,hsa01100,59
hsa00590,hsa01100,59
hsa01521,hsa05200,59
hsa04010,hsa04810,59
hsa04062,hsa05170,59
hsa04151,hsa05224,59
hsa04151,hsa05226,59
hsa04371,hsa04921,59
hsa04550,hsa05165,59
hsa04621,hsa05167,59
hsa04621,hsa05168,59
hsa04723,hsa04724,59
hsa04810,hsa05131,59
hsa04934,hsa05226,59
hsa05014,hsa05132,59
hsa05145,hsa05152,59
hsa05152,hsa05170,59
hsa05161,hsa05203,59
hsa05165,hsa05206,59
hsa05210,hsa05226,59
hsa05417,hsa05418,59
hsa00240,hsa01100,58
hsa01522,hsa05224,58
hsa04014,hsa05167,58
hsa04015,hsa04024,58
hsa04062,hsa04725,58
hsa04082,hsa04725,58
hsa04261,hsa04925,58
hsa04620,hsa04621,58
hsa04621,hsa05164,58
hsa04713,hsa04724,58
hsa04722,hsa05200,58
hsa04725,hsa04728,58
hsa04728,hsa05034,58
hsa04810,hsa05135,58
hsa04912,hsa04921,58
hsa04915,hsa05207,58
hsa05022,hsa05226,58
hsa05165,hsa05222,58
hsa05200,hsa05221,58
hsa05207,hsa05208,58
hsa05208,hsa05418,58
hsa05210,hsa05225,58
hsa04010,hsa04722,57
hsa04014,hsa04722,57
hsa04024,hsa05163,57
hsa04082,hsa04726,57
hsa04151,hsa05218,57
hsa04390,hsa05226,57
hsa04620,hsa05163,57
hsa04621,hsa05161,57
hsa04625,hsa05417,57
hsa04650,hsa05170,57
hsa04659,hsa05166,57
hsa04660,hsa05170,57
hsa04668,hsa05417,57
hsa04722,hsa05417,57
hsa04723,hsa05208,57
hsa04725,hsa04935,57
hsa04725,hsa05207,57
hsa04910,hsa04931,57
hsa04916,hsa05165,57
hsa04925,hsa04934,57
hsa04926,hsa05207,57
hsa04934,hsa05224,57
hsa04934,hsa05225,57
hsa04936,hsa05167,57
hsa04936,hsa05171,57
hsa05010,hsa05205,57
hsa05022,hsa05224,57
hsa05131,hsa05200,57
hsa05152,hsa05163,57
hsa05160,hsa05170,57
hsa05165,hsa05215,57
hsa05166,hsa05170,57
hsa05170,hsa05171,57
hsa05171,hsa05200,57
hsa05200,hsa05202,57
hsa05218,hsa05226,57
hsa00980,hsa05204,56
hsa01100,hsa05207,56
hsa01522,hsa05163,56
hsa04010,hsa05207,56
hsa04012,hsa05200,56
hsa04014,hsa04926,56
hsa04022,hsa04925,56
hsa04062,hsa04935,56
hsa04068,hsa04151,56
hsa04151,hsa05162,56
hsa04151,hsa05222,56
hsa04310,hsa05225,56
hsa04510,hsa04820,56
hsa04550,hsa05010,56
hsa04650,hsa05163,56
hsa04660,hsa05235,56
hsa04713,hsa05200,56
hsa04814,hsa05014,56
hsa04934,hsa05010,56
hsa04936,hsa05161,56
hsa05140,hsa05152,56
hsa05142,hsa05200,56
hsa05142,hsa05417,56
hsa05145,hsa05200,56
hsa05167,hsa05203,56
